Título,Nota
1. Um Sonho de Liberdade,"9,3(3,1 mi)"
2. O Poderoso Chefão,"9,2(2,2 mi)"
3. Batman: O Cavaleiro das Trevas,"9,1(3,1 mi)"
4. O Poderoso Chefão: Parte II,"9,0(1,5 mi)"
5. 12 Homens e uma Sentença,"9,0(953 mil)"
6. O Senhor dos Anéis: O Retorno do Rei,"9,0(2,1 mi)"
7. A Lista de Schindler,"9,0(1,6 mi)"
8. O Senhor dos Anéis: A Sociedade do Anel,"8,9(2,1 mi)"
9. Pulp Fiction: Tempo de Violência,"8,8(2,4 mi)"
10. Três Homens em Conflito,"8,8(871 mil)"
11. O Senhor dos Anéis: As Duas Torres,"8,8(1,9 mi)"
12. Forrest Gump: O Contador de Histórias,"8,8(2,4 mi)"
13. Clube da Luta,"8,8(2,5 mi)"
14. A Origem,"8,8(2,7 mi)"
15. Star Wars: Episódio V - O Império Contra-Ataca,"8,7(1,5 mi)"
16. Matrix,"8,7(2,2 mi)"
17. Os Bons Companheiros,"8,7(1,4 mi)"
18. Interestelar,"8,7(2,4 mi)"
19. Um Estranho no Ninho,"8,7(1,1 mi)"
20. Seven - Os Sete Crimes Capitais,"8,6(2 mi)"
21. A Felicidade Não se Compra,"8,6(536 mil)"
22. O Silêncio dos Inocentes,"8,6(1,7 mi)"
23. Os Sete Samurais,"8,6(392 mil)"
24. O Resgate do Soldado Ryan,"8,6(1,6 mi)"
25. À Espera de um Milagre,"8,6(1,5 mi)"
